Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5068963,129,SHA,KMG,2011-12-28,08:20:00,140,158,[F,Y],27,3
Relation:couple,coflycnt
3610269,50204428,3
6865053,95586445,2
22997707,33352971,5
9462001,22933945,2
34262642,95586443,2
882959,882960,7
34262642,95586445,2
6865053,95586443,2
1450797,5174653,1
3368937,92989469,2
95586443,95586445,2
6865053,34262642,2
80840146,95586445,2
80840146,95586443,2
3368937,92989470,2
17186453,17578237,6
6865053,80840146,2
4936832,6621472,9
1145747,2494102,13
92989469,92989470,2
34262642,80840146,2
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
96015830,0,-1.0,-1.0,-1.0,-1.0
96015831,0,-1.0,-1.0,-1.0,-1.0
96015832,0,-1.0,-1.0,-1.0,-1.0
96015833,0,-1.0,-1.0,-1.0,-1.0
96015834,0,-1.0,-1.0,-1.0,-1.0
96015835,0,-1.0,-1.0,-1.0,-1.0
96015836,0,-1.0,-1.0,-1.0,-1.0
96015837,0,-1.0,-1.0,-1.0,-1.0
96015838,0,-1.0,-1.0,-1.0,-1.0
96015839,0,-1.0,-1.0,-1.0,-1.0
96015840,0,-1.0,-1.0,-1.0,-1.0
96015841,0,-1.0,-1.0,-1.0,-1.0
96015842,0,-1.0,-1.0,-1.0,-1.0
96015843,0,-1.0,-1.0,-1.0,-1.0
96015844,0,-1.0,-1.0,-1.0,-1.0
96015845,0,-1.0,-1.0,-1.0,-1.0
96015846,0,-1.0,-1.0,-1.0,-1.0
96015847,0,-1.0,-1.0,-1.0,-1.0
96015848,0,-1.0,-1.0,-1.0,-1.0
96015849,0,-1.0,-1.0,-1.0,-1.0
96015850,0,-1.0,-1.0,-1.0,-1.0
96015851,0,-1.0,-1.0,-1.0,-1.0
96015852,0,-1.0,-1.0,-1.0,-1.0
96015853,0,-1.0,-1.0,-1.0,-1.0
96015854,0,-1.0,-1.0,-1.0,-1.0
96015855,0,-1.0,-1.0,-1.0,-1.0
96015856,0,-1.0,-1.0,-1.0,-1.0
96015857,0,-1.0,-1.0,-1.0,-1.0
96015858,0,-1.0,-1.0,-1.0,-1.0
96015859,0,-1.0,-1.0,-1.0,-1.0
96015860,0,-1.0,-1.0,-1.0,-1.0
96015861,0,-1.0,-1.0,-1.0,-1.0
96015862,0,-1.0,-1.0,-1.0,-1.0
96015863,0,-1.0,-1.0,-1.0,-1.0
96015864,0,-1.0,-1.0,-1.0,-1.0
96015865,0,-1.0,-1.0,-1.0,-1.0
96015866,0,-1.0,-1.0,-1.0,-1.0
96015867,0,-1.0,-1.0,-1.0,-1.0
Allocation:pid,cabin,row,col,new_rate
1125524,3,5,3,0.6467578702962573
65508533,3,17,2,0.6165128314290489
24470915,1,1,1,0.5519143796385981
33352971,3,14,5,0.7999809875001206
17194525,3,9,1,0.6412308529915236
15328136,3,17,1,0.5698481799999999
11942684,3,21,6,0.6246578284262754
12405092,3,10,6,0.5779652336298864
6858463,3,12,4,0.9681528753333326
985205,3,11,4,0.586417474289767
2494102,3,3,4,0.7617100031875988
15267057,3,7,3,0.6461817006142313
85583845,3,11,1,0.8452267395520611
2942566,3,16,4,0.6454977551970804
1450797,3,3,1,0.7633813167644097
95821049,3,14,3,-1.0
95821048,3,15,1,-1.0
6809220,3,8,6,0.6619806696649078
4551817,3,4,2,0.5715312844538032
25957674,3,17,5,0.6319306095911219
21149845,3,10,1,0.7303684483625892
3188539,3,3,6,0.5788037570119033
22997707,3,14,4,0.7105579264680438
96015861,3,24,5,-1.0
96015860,3,23,2,-1.0
96015863,3,27,3,-1.0
