Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5067025,419,HAK,WUH,2011-12-27,22:50:00,151,158,[F,Y],35,11
Relation:couple,coflycnt
95710470,3,30-K,56,0,0,0,30,5
95772487,3,18-J,94,0,1,1,18,4
21922589,3,27-L,90,1,0,0,27,6
95992675,3,19-L,125,1,0,1,19,6
95992673,3,24-L,35,1,0,0,24,6
95992670,3,32-L,108,1,0,0,32,6
41321677,1,2-J,151,0,1,1,2,3
1391360,3,13-K,97,0,0,1,13,5
6280227,3,31-K,115,0,0,0,31,5
95992651,3,21-L,12,1,0,1,21,6
95992655,3,22-A,13,1,0,1,22,1
95992659,3,20-C,3,0,1,1,20,3
95992663,3,21-C,9,0,1,1,21,3
Passenger:pid,flycnt,window,road,part1,historyRate
39909255,5,0.4803161,0.47085297,0.5605709,0.5156454228550325
41321677,3,0.94900393,0.050996087,0.94900393,0.22458237377092483
85056751,0,-1.0,-1.0,-1.0,-1.0
966031,82,0.32508439,0.56972522,0.51077139,0.5796188714320252
4636837,37,0.52679271,0.37376767,0.5343383,0.5160129997292411
13076889,13,0.49882877,0.43401214,0.57851017,0.49199305902362533
43418805,13,0.40108806,0.54451144,0.5584988,0.46767443239846873
39393005,12,0.65519363,0.25760129,0.55229121,0.6479441891201404
2168697,10,0.51455331,0.41857553,0.37630033,0.501862983539386
9508760,10,0.28827736,0.34848896,0.70929998,0.41957574908277895
3314559,9,0.18024667,0.59262437,0.5911594,0.6509086069177368
2992736,8,0.40903082,0.59096915,0.62656349,0.45888296001535167
3993162,6,0.68720055,0.12890431,0.59531182,0.6954608180170183
6280227,6,0.661632,0.19930872,0.58624798,0.47681502208552184
1391360,4,0.26749885,0.32452568,0.73250115,0.8561168916324472
11072443,4,0.39635265,0.55906135,0.55906135,0.5295137588658347
16824053,4,0.10934532,0.5188545,0.73314023,0.838065978450943
30045587,4,0.31137082,0.32203236,0.53576291,0.6827775202327079
3128284,3,0.44498202,0.40858254,0.73492283,0.7868391538119354
46771257,3,0.17905085,0.82094914,0.17905085,0.7514257518888887
58728399,3,0.66768914,0.12781186,0.61042947,0.2744783308829706
77416048,3,0.63540155,0.21385534,0.36459845,0.7067599518804399
86554668,3,0.79810202,0.20189796,0.67518538,0.7088336426696389
2132903,2,0.084554143,0.56544584,0.56544584,0.535741667084271
26223235,2,0.43610057,0.17536439,0.82463562,0.6843259906913564
33441408,2,0.18362081,0.81637919,0.18362081,0.7013409363611112
66916308,2,0.39481965,0.26760072,0.26760072,0.5275640275113782
85596297,2,0.85526901,0.14473099,0.6244998,0.2687976661386625
93402725,2,0.88509166,0.11490837,0.56178337,0.5219402018431303
22622798,1,0.72929937,0.27070063,0.72929937,0.8431611667444177
25907482,1,0.95578229,0.044217687,0.95578229,0.5345947808580894
26917169,1,0.97959185,0.020408163,0.97959185,0.9795918456666658
26917179,1,0.37755102,0.37755102,0.37755102,0.6132631069961983
55172830,1,0.088957056,0.088957056,0.088957056,0.4690179031779692
65438386,1,0.16257669,0.16257669,0.16257669,0.4986218458441878
66108644,1,0.28323698,0.71676302,0.28323698,0.6961741671452539
73586133,1,0.042944785,0.042944785,0.95705521,0.4463324751846295
74925804,1,0.88410598,0.11589404,0.88410598,0.1158940266666666
75131719,1,0.95859873,0.041401275,0.95859873,0.4455213692464931
84842162,1,0.040816326,0.040816326,0.95918369,0.7226065874222598
94862696,1,0.052147239,0.052147239,0.94785279,0.45110306900067587
94877412,1,0.080924854,0.080924854,0.91907513,0.46527365547900434
94877414,1,0.083815031,0.91618496,0.91618496,0.4666318340702068
95123839,1,0.18820225,0.81179774,0.81179774,0.5067604543282991
95672405,1,0.921875,0.078125,0.078125,0.5767189673306324
95672406,1,0.0625,0.9375,0.9375,0.32869898006802717
95672407,1,0.94375002,0.056249999,0.94375002,0.4281916284029607
95672408,1,0.065624997,0.93437499,0.93437499,0.6865401943859051
95672409,1,0.081249997,0.081249997,0.081249997,0.6151890178369482
95672410,1,0.059374999,0.059374999,0.94062501,0.3602415331638399
95672411,1,0.068750001,0.068750001,0.93124998,0.45679067608511714
95688571,1,0.97902095,0.020979021,0.97902095,0.200540982830697
95688576,1,0.017482517,0.017482517,0.98251748,0.1977143398791048
95688625,1,0.86363637,0.13636364,0.86363637,0.7445497665089467
95688626,1,0.13986014,0.13986014,0.86013985,0.7452186723417409
95702443,1,0.97471911,0.025280898,0.97471911,0.025280892666666555
95710432,1,0.12101911,0.12101911,0.87898088,0.6322812017676217
95710433,1,0.61146498,0.38853502,0.38853502,0.6976048339012408
95710434,1,0.092356689,0.092356689,0.90764332,0.6726840875607321
95710435,1,0.10191083,0.10191083,0.89808917,0.636701073818735
95710436,1,0.11464968,0.88535035,0.88535035,0.6031004561901807
95710437,1,0.8757962,0.12420382,0.8757962,0.6771444261071902
95710438,1,0.073248409,0.073248409,0.92675161,0.6936693621993751
95710439,1,0.1178344,0.88216561,0.88216561,0.6746863744945466
95710440,1,0.12738854,0.12738854,0.87261146,0.8528542298868036
95710441,1,0.10509554,0.89490443,0.89490443,0.8489004686073255
95710442,1,0.070063695,0.92993629,0.92993629,0.4914657891873767
95710443,1,0.13375796,0.86624205,0.86624205,0.5301631602084955
95710444,1,0.93312103,0.066878982,0.93312103,0.9224926668556914
95710445,1,0.39171976,0.39171976,0.39171976,0.7041728364459651
95710448,1,0.15605095,0.84394902,0.15605095,0.6231809832520643
95710449,1,0.15923567,0.84076434,0.15923567,0.3932783947687985
95710450,1,0.15286624,0.15286624,0.15286624,0.5809494034190831
95710451,1,0.85031849,0.14968152,0.14968152,0.35609075916666666
95710452,1,0.3312102,0.6687898,0.3312102,0.6690440061047283
95710453,1,0.34394905,0.65605098,0.34394905,0.8155254799999998
95710454,1,0.34713376,0.65286624,0.34713376,0.6610862978490092
95710455,1,0.90127391,0.098726116,0.90127391,0.5394990353306348
95710456,1,0.89171976,0.10828026,0.89171976,0.6709575225634719
95710457,1,0.90445858,0.095541403,0.90445858,0.4507594599545191
95710460,1,0.17515923,0.82484078,0.17515923,0.6576331882475008
95710461,1,0.1687898,0.1687898,0.1687898,0.6045185168038453
95710462,1,0.17834395,0.17834395,0.17834395,0.6164684761027706
95710465,1,0.089171976,0.91082805,0.91082805,0.4650405247878787
95710466,1,0.92356688,0.076433122,0.92356688,0.4631388057096646
95710467,1,0.3566879,0.6433121,0.6433121,0.5793807806473519
95710468,1,0.36942676,0.36942676,0.36942676,0.6156133769940133
95710469,1,0.35031846,0.64968151,0.35031846,0.6252232130555553
95710470,1,0.33757961,0.66242039,0.33757961,0.5898113134324243
95710471,1,0.3535032,0.64649683,0.64649683,0.5421030048600755
95710475,1,0.21337579,0.21337579,0.21337579,0.6933865095535714
95710476,1,0.78980893,0.21019109,0.21019109,0.5204142889393006
95710477,1,0.21656051,0.78343952,0.21656051,0.7246066547619046
95710478,1,0.19745223,0.80254775,0.19745223,0.6883274530952379
95710479,1,0.80891722,0.19108281,0.19108281,0.8752919324999997
95710480,1,0.20063694,0.79936308,0.20063694,0.4839136742846049
95710481,1,0.79299361,0.20700637,0.20700637,0.6045675020198624
95710482,1,0.20382166,0.20382166,0.20382166,0.5698746878121446
7005568,0,-1.0,-1.0,-1.0,-1.0
8920219,0,-1.0,-1.0,-1.0,-1.0
21922589,0,-1.0,-1.0,-1.0,-1.0
95772486,0,-1.0,-1.0,-1.0,-1.0
95772487,0,-1.0,-1.0,-1.0,-1.0
95772488,0,-1.0,-1.0,-1.0,-1.0
95772489,0,-1.0,-1.0,-1.0,-1.0
95992647,0,-1.0,-1.0,-1.0,-1.0
95992648,0,-1.0,-1.0,-1.0,-1.0
95992649,0,-1.0,-1.0,-1.0,-1.0
95992650,0,-1.0,-1.0,-1.0,-1.0
95992651,0,-1.0,-1.0,-1.0,-1.0
95992652,0,-1.0,-1.0,-1.0,-1.0
95992653,0,-1.0,-1.0,-1.0,-1.0
95992654,0,-1.0,-1.0,-1.0,-1.0
95992655,0,-1.0,-1.0,-1.0,-1.0
95992656,0,-1.0,-1.0,-1.0,-1.0
95992657,0,-1.0,-1.0,-1.0,-1.0
95992658,0,-1.0,-1.0,-1.0,-1.0
95992659,0,-1.0,-1.0,-1.0,-1.0
95992660,0,-1.0,-1.0,-1.0,-1.0
95992661,0,-1.0,-1.0,-1.0,-1.0
95992662,0,-1.0,-1.0,-1.0,-1.0
95992663,0,-1.0,-1.0,-1.0,-1.0
95992664,0,-1.0,-1.0,-1.0,-1.0
95992665,0,-1.0,-1.0,-1.0,-1.0
95992666,0,-1.0,-1.0,-1.0,-1.0
95992669,0,-1.0,-1.0,-1.0,-1.0
95992670,0,-1.0,-1.0,-1.0,-1.0
95992673,0,-1.0,-1.0,-1.0,-1.0
95992675,0,-1.0,-1.0,-1.0,-1.0
95992676,0,-1.0,-1.0,-1.0,-1.0
Allocation:pid,cabin,row,col,new_rate
95710481,3,25,6,0.896496810595238
95710480,3,25,4,0.8996815324999998
93402725,3,20,1,0.8142219094354652
95710482,3,25,5,0.8980891693749999
55172830,3,30,2,0.911042944
95672407,3,20,6,0.9567389511870745
95772486,3,21,3,-1.0
95672406,3,20,4,0.9443347948454469
95772487,3,21,4,-1.0
95672405,3,28,1,0.8705283965381241
95672411,3,20,2,0.9147671522436972
4636837,3,11,1,0.5601256886741157
95672410,3,20,5,0.9514528521629072
95672409,3,28,2,0.8561607760233181
39393005,3,24,1,0.7978706185615896
95772488,3,33,1,-1.0
95672408,3,20,3,0.9336907641881418
95772489,3,22,2,-1.0
77416048,3,24,6,0.8179241651562273
95710465,3,14,4,0.9304140206666662
95710466,3,22,1,0.9235668793333334
95710467,3,13,4,0.8033546476415354
95710468,3,29,5,0.7719819590411254
95710469,3,31,4,0.8105032904894178
2168697,3,34,2,0.5597074754571888
95710470,3,29,2,0.7503395840429721
39909255,1,2,2,0.5156454228550325
95710471,3,15,1,0.6986531729449952
95710475,3,26,2,0.8933121039583333
95710476,3,26,1,0.8949044572619046
95710477,3,26,3,0.8917197491666664
95710478,3,25,3,0.9012738808333332
95710479,3,25,1,0.9044585991666664
2132903,3,11,3,0.6418454527976898
75131719,3,17,6,0.9585987283333333
95688571,3,23,1,0.9790209596666622
95992665,3,30,4,-1.0
95992664,3,22,3,-1.0
95992666,3,30,5,-1.0
95992669,3,30,6,-1.0
95992670,3,31,1,-1.0
95992657,3,19,3,-1.0
95992656,3,13,2,-1.0
95992659,3,31,2,-1.0
95992658,3,16,4,-1.0
95992661,3,29,4,-1.0
95992660,3,30,1,-1.0
95992663,3,23,2,-1.0
95992662,3,29,6,-1.0
95992648,3,22,4,-1.0
95992649,3,22,5,-1.0
95992650,3,19,5,-1.0
65438386,3,26,5,0.8374233099999999
95992651,3,28,6,-1.0
95992652,3,31,5,-1.0
9508760,3,13,5,0.6895944087925973
95992653,3,23,3,-1.0
26223235,3,15,5,0.8551756673298778
95992654,3,11,6,-1.0
95992655,3,23,5,-1.0
66916308,3,27,2,0.842122713826871
33441408,3,28,3,0.8740687889993599
11072443,3,13,3,0.5734052628510022
95992647,3,21,5,-1.0
85056751,1,1,2,-1.0
2992736,3,24,3,0.7538302999008991
6280227,3,12,6,0.6706533723941097
30045587,3,25,2,0.7984025193993746
3314559,3,12,3,0.6509086069177368
43418805,3,11,4,0.5666930380715933
95992675,3,14,3,-1.0
8920219,3,19,4,-1.0
95992673,3,23,4,-1.0
85596297,3,14,1,0.7530894094800035
95992676,3,29,1,-1.0
94862696,3,12,2,0.9478527706666648
1391360,3,12,5,0.8561168916324472
3993162,3,12,1,0.6954608180170183
46771257,3,26,4,0.8709124216996336
86554668,3,13,1,0.8501567256029964
73586133,3,14,2,0.9570552133333333
21922589,3,31,6,-1.0
13076889,3,11,2,0.5472858310734681
25907482,3,18,1,0.9695578154999993
26917179,3,17,5,0.7465964403295318
74925804,3,19,1,0.884105973333333
3128284,3,28,4,0.6989054445068597
58728399,3,13,6,0.6952970971174927
966031,3,30,3,0.5711629447881738
95688576,3,19,2,0.982517482
26917169,3,18,6,0.9795918456666658
16824053,3,12,4,0.838065978450943
94877412,3,15,2,0.9190751406666663
94877414,3,17,4,0.9161849629999999
7005568,3,11,5,-1.0
95710445,3,35,2,0.7978948444948977
95710444,3,17,1,0.9636132425181745
95710441,3,16,3,0.941091586004634
95710440,3,17,2,0.9328916706453454
95710443,3,17,3,0.9290979441400019
84842162,3,18,2,0.9795918396666663
95710442,3,18,4,0.9613709650892605
95710437,3,14,6,0.9112888999537454
95710436,3,15,3,0.9280464207000891
95710439,3,15,4,0.9086935148085025
66108644,3,28,5,0.762970536198809
95710438,3,18,5,0.9590395781609089
95123839,3,18,3,0.8117977433333333
95710433,3,35,1,0.7998209809171499
95710432,3,14,5,0.8886642340389984
95710435,3,16,2,0.9440802502757812
95710434,3,16,5,0.9392964550322287
95710460,3,24,4,0.9124203858333333
95710461,3,24,2,0.9156050991666667
95702443,3,21,6,0.974719107333333
95710462,3,24,5,0.9108280241666666
95710456,3,15,6,0.9458598754761902
95710457,3,16,1,0.9522292910873014
95710452,3,33,3,0.7718948983333332
95688625,3,21,1,0.9318181833333333
95710453,3,34,4,0.7720730990476189
95710454,3,31,3,0.7913140707142857
95688626,3,21,2,0.9300699283333334
95710455,3,16,6,0.9506369495555551
22622798,3,23,6,0.8401725586901444
95710448,3,27,4,0.9219745199999997
95710449,3,27,3,0.9203821658333333
41321677,1,1,4,0.9490039243333327
95710450,3,27,5,0.9235668791666667
95710451,3,27,6,0.9251592408333333
