Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5073325,429,HRB,KMG,2011-12-28,18:35:00,128,134,[F,Y],51,31
Relation:couple,coflycnt
45995596,3,44-C,48,0,1,0,44,3
11329382,3,48-J,24,0,1,0,48,4
40844931,3,34-L,10,1,0,1,34,6
Passenger:pid,flycnt,window,road,part1,historyRate
16881311,32,0.39533764,0.48623329,0.53352559,0.6989612536621532
19668948,25,0.35223272,0.46233124,0.56393397,0.7760919724182642
37125448,17,0.36760765,0.33670023,0.61363959,0.6851930987946222
8468364,15,0.43055168,0.42972818,0.55742246,0.5656744935153717
15598831,11,0.54710847,0.34467107,0.60899746,0.4871635313516476
13163114,9,0.44101423,0.51113433,0.69844812,0.641560256037278
13163115,9,0.37656298,0.29793915,0.52707738,0.5350007245102731
2059773,8,0.54708576,0.37808427,0.42592013,0.4181495893400585
3118557,7,0.41628414,0.3712033,0.62133533,0.7247188399798015
53511479,7,0.30138862,0.37754214,0.71769595,0.38202389356122446
66318855,7,0.44136822,0.47008395,0.49938595,0.7645622600468485
7404543,6,0.93326175,0.06673827,0.82692224,0.8861815748626012
52634204,6,0.45893949,0.44325614,0.31709129,0.6531093005898903
3118556,5,0.23426735,0.70904535,0.76573265,0.8166697494347281
15136340,5,0.39289773,0.56040883,0.46694478,0.5657779175927099
30728469,5,0.3249636,0.48183912,0.3249636,0.4857223771112551
33359218,5,0.58909708,0.41090289,0.52162284,0.6599959911227453
34602623,5,0.56791621,0.27544045,0.42120895,0.5376131653289444
46234031,5,0.61185378,0.32800636,0.48630571,0.5828159942825619
51334946,5,0.40005645,0.49633509,0.51647896,0.667456896601265
53096817,5,0.39613804,0.39105937,0.35293445,0.5948879232317423
59779827,5,0.61193061,0.35590154,0.50349689,0.4984576801275835
9284996,4,0.4763706,0.52362943,0.70876497,0.4081882869229476
12890155,4,0.7459228,0.13137779,0.86862218,0.4720101519747826
56501392,4,0.16315518,0.3774409,0.42106658,0.6167700543625412
66318856,4,0.315631,0.4726558,0.39779884,0.7338533689642767
