Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086733,118,HAK,KHN,2011-12-30,07:40:00,160,164,[F,Y],28,3
Relation:couple,coflycnt
54541039,54541040,1
44399505,65326720,2
14809540,15358764,2
44399505,45324100,3
55625317,55625318,1
3016280,21723946,4
45324100,65326720,2
7947435,7947436,3
40641670,40641671,4
66113191,66113192,3
15575881,45324100,3
12392010,16728736,6
15575881,65326720,2
5814760,64898722,1
15575881,44399505,3
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
15358820,4,0.41473532,0.46166918,0.71030533,0.5734915165971554
15575881,4,0.2899282,0.40035766,0.59964234,0.6660227316195442
29155384,4,0.72068548,0.27931452,0.54552627,0.45380007523930277
45174309,4,0.40018883,0.57426369,0.56745601,0.41932265166895955
56990895,4,0.49164695,0.33593792,0.33593792,0.4850406308480395
5745052,3,0.74641162,0.25358838,0.41707033,0.6824249206311691
11976983,3,0.41407436,0.47140622,0.31086737,0.4444904016446355
34728072,3,0.4628799,0.5371201,0.48804033,0.5030294551469778
40641670,3,0.16938898,0.4229677,0.62891251,0.7067120572930112
40641671,3,0.377496,0.17367435,0.622504,0.8342650345835371
44399505,3,0.50599867,0.4940013,0.77774787,0.6811087857667345
45324100,3,0.77190268,0.2280973,0.77190268,0.6862655788872205
61325831,3,0.45248914,0.16374178,0.61332828,0.6016306021696001
65413749,3,0.43606389,0.26669618,0.26669618,0.350482050282643
66113191,3,0.48673052,0.2383303,0.2383303,0.7260797526505738
66113192,3,0.23929369,0.51666594,0.23929369,0.7257010065482503
78094685,3,0.40894231,0.59105772,0.52357304,0.5495941350683156
2091051,2,0.4698078,0.33694068,0.5301922,0.5698962296838346
5745016,2,0.88633651,0.11366351,0.88633651,0.2733400218755495
31716329,2,0.31498247,0.19138697,0.68501753,0.7200852004029423
45708675,2,0.98095036,0.019049667,0.98095036,0.19898187548989243
47584979,2,0.56533545,0.15122505,0.56533545,0.6345160478667098
53984841,2,0.93798012,0.062019899,0.51159972,0.38210371774024976
63834677,2,0.98006135,0.01993865,0.51993865,0.36982100445152144
65326720,2,0.32966587,0.25297874,0.6703341,0.7640761317170611
65326736,2,0.87998235,0.12001763,0.59854525,0.3816609387183807
72082045,2,0.33860511,0.31873757,0.31873757,0.5237768178759312
79092430,2,0.41887772,0.58112228,0.67347896,0.38654526975294023
91402077,2,0.25138259,0.45520425,0.25138259,0.446097589122332
24637769,1,0.10583942,0.10583942,0.89416057,0.4765731217592414
35794513,1,0.28343949,0.71656048,0.71656048,0.2834395099999998
36891972,1,0.070063695,0.070063695,0.92993629,0.46006193374515314
53668020,1,0.08128079,0.91871923,0.08128079,0.4654415787406577
55625317,1,0.97552449,0.024475524,0.97552449,0.6016811251799848
55625318,1,0.027972028,0.027972028,0.97202796,0.603089098188415
59868888,1,0.71656048,0.28343949,0.28343949,0.7165604999999997
59910136,1,0.97457629,0.025423728,0.025423728,0.9745762779999986
60877251,1,0.26642334,0.26642334,0.26642334,0.73357666
64131673,1,0.14606741,0.14606741,0.14606741,0.49276164551159174
64777109,1,0.1656051,0.1656051,0.83439493,0.8343949099999994
64898722,1,0.088957056,0.088957056,0.91104293,0.6511756178647408
66408264,1,0.729927,0.270073,0.729927,0.5243697949082011
66408265,1,0.30635837,0.6936416,0.6936416,0.406666802611389
69084139,1,0.95705521,0.042944785,0.95705521,0.04294478833333326
73299303,1,0.30573249,0.30573249,0.30573249,0.69426751
73977298,1,0.89416057,0.10583942,0.10583942,0.26736815734991015
76111672,1,0.99044585,0.0095541403,0.0095541403,0.4281126088771302
86142601,1,0.83128834,0.16871166,0.16871166,0.5006779420521371
95120560,1,0.78220856,0.21779141,0.78220856,0.34906896910544727
95483730,1,0.90689653,0.093103446,0.90689653,0.2575735879542995
54541039,0,-1.0,-1.0,-1.0,-1.0
54541040,0,-1.0,-1.0,-1.0,-1.0
61480928,0,-1.0,-1.0,-1.0,-1.0
74209474,0,-1.0,-1.0,-1.0,-1.0
74209475,0,-1.0,-1.0,-1.0,-1.0
89042557,0,-1.0,-1.0,-1.0,-1.0
95841677,0,-1.0,-1.0,-1.0,-1.0
95841678,0,-1.0,-1.0,-1.0,-1.0
95841679,0,-1.0,-1.0,-1.0,-1.0
95841680,0,-1.0,-1.0,-1.0,-1.0
95841682,0,-1.0,-1.0,-1.0,-1.0
